shipping_id,order_id,carrier,shipping_method,warehouse_location,ship_date,delivery_date,shipping_cost,delivery_status
800251,70015251,Canada Post,Standard,Edmonton-AB,2024-02-03,2024-02-10,9.99,Delivered
800252,70015252,UPS,Expedited,Calgary-AB,2024-02-04,2024-02-07,14.99,Delivered
800253,70015253,FedEx,Standard,Vancouver-BC,2024-02-02,2024-02-11,11.99,Delivered
800254,70015254,Purolator,Express,Toronto-ON,2024-02-05,2024-02-07,19.99,Delivered
800255,70015255,DHL,Standard,Chicago-IL,2024-02-03,2024-02-12,12.99,Delivered
800256,70015256,Canada Post,Standard,Edmonton-AB,2024-02-06,2024-02-13,9.99,Delivered
800257,70015257,UPS,Expedited,Calgary-AB,2024-02-07,2024-02-10,14.99,Delivered
800258,70015258,FedEx,Standard,Vancouver-BC,2024-02-04,2024-02-13,11.99,Delivered
800259,70015259,Purolator,Express,Toronto-ON,2024-02-08,2024-02-10,19.99,Delivered
800260,70015260,DHL,Standard,Chicago-IL,2024-02-05,2024-02-14,12.99,Delivered
800261,70015261,Canada Post,Standard,Edmonton-AB,2024-02-09,2024-02-16,9.99,Delivered
800262,70015262,UPS,Expedited,Calgary-AB,2024-02-10,2024-02-13,14.99,Delivered
800263,70015263,FedEx,Standard,Vancouver-BC,2024-02-07,2024-02-15,11.99,Delivered
800264,70015264,Purolator,Express,Toronto-ON,2024-02-11,2024-02-13,19.99,Delivered
800265,70015265,DHL,Standard,Chicago-IL,2024-02-08,2024-02-17,12.99,Delivered
800266,70015266,Canada Post,Standard,Edmonton-AB,2024-02-12,2024-02-19,9.99,Delivered
800267,70015267,UPS,Expedited,Calgary-AB,2024-02-13,2024-02-16,14.99,Delivered
800268,70015268,FedEx,Standard,Vancouver-BC,2024-02-10,2024-02-18,11.99,Delivered
800269,70015269,Purolator,Express,Toronto-ON,2024-02-14,2024-02-16,19.99,Delivered
800270,70015270,DHL,Standard,Chicago-IL,2024-02-11,2024-02-20,12.99,Delivered
800271,70015271,Canada Post,Standard,Edmonton-AB,2024-02-15,2024-02-22,9.99,Delivered
800272,70015272,UPS,Expedited,Calgary-AB,2024-02-16,2024-02-19,14.99,Delivered
800273,70015273,FedEx,Standard,Vancouver-BC,2024-02-13,2024-02-21,11.99,Delivered
800274,70015274,Purolator,Express,Toronto-ON,2024-02-17,2024-02-19,19.99,Delivered
800275,70015275,DHL,Standard,Chicago-IL,2024-02-14,2024-02-23,12.99,Delivered
800276,70015276,Canada Post,Standard,Edmonton-AB,2024-02-18,2024-02-25,9.99,Delivered
800277,70015277,UPS,Expedited,Calgary-AB,2024-02-19,2024-02-22,14.99,Delivered
800278,70015278,FedEx,Standard,Vancouver-BC,2024-02-16,2024-02-24,11.99,Delivered
800279,70015279,Purolator,Express,Toronto-ON,2024-02-20,2024-02-22,19.99,Delivered
800280,70015280,DHL,Standard,Chicago-IL,2024-02-17,2024-02-26,12.99,Delivered
800281,70015281,Canada Post,Standard,Edmonton-AB,2024-02-21,2024-02-28,9.99,Delivered
800282,70015282,UPS,Expedited,Calgary-AB,2024-02-22,2024-02-25,14.99,Delivered
800283,70015283,FedEx,Standard,Vancouver-BC,2024-02-19,2024-02-27,11.99,Delivered
800284,70015284,Purolator,Express,Toronto-ON,2024-02-23,2024-02-25,19.99,Delivered
800285,70015285,DHL,Standard,Chicago-IL,2024-02-20,2024-02-29,12.99,Delivered
800286,70015286,Canada Post,Standard,Edmonton-AB,2024-02-24,2024-03-02,9.99,Delivered
800287,70015287,UPS,Expedited,Calgary-AB,2024-02-25,2024-02-28,14.99,Delivered
800288,70015288,FedEx,Standard,Vancouver-BC,2024-02-22,2024-03-01,11.99,Delivered
800289,70015289,Purolator,Express,Toronto-ON,2024-02-26,2024-02-28,19.99,Delivered
800290,70015290,DHL,Standard,Chicago-IL,2024-02-23,2024-03-03,12.99,Delivered
800291,70015291,Canada Post,Standard,Edmonton-AB,2024-02-27,2024-03-05,9.99,Delivered
800292,70015292,UPS,Expedited,Calgary-AB,2024-02-28,2024-03-02,14.99,Delivered
800293,70015293,FedEx,Standard,Vancouver-BC,2024-02-25,2024-03-04,11.99,Delivered
800294,70015294,Purolator,Express,Toronto-ON,2024-03-01,2024-03-03,19.99,Delivered
800295,70015295,DHL,Standard,Chicago-IL,2024-02-27,2024-03-07,12.99,Delivered
800296,70015296,Canada Post,Standard,Edmonton-AB,2024-03-02,2024-03-09,9.99,Delivered
800297,70015297,UPS,Expedited,Calgary-AB,2024-03-03,2024-03-06,14.99,Delivered
800298,70015298,FedEx,Standard,Vancouver-BC,2024-02-29,2024-03-08,11.99,Delivered
800299,70015299,Purolator,Express,Toronto-ON,2024-03-04,2024-03-06,19.99,Delivered
800300,70015300,DHL,Standard,Chicago-IL,2024-03-01,2024-03-10,12.99,Delivered
800501,70015501,Canada Post,Standard,Edmonton-AB,2024-03-12,2024-03-19,9.99,Delivered
800502,70015502,UPS,Expedited,Calgary-AB,2024-03-13,2024-03-16,14.99,Delivered
800503,70015503,FedEx,Standard,Vancouver-BC,2024-03-10,2024-03-18,11.99,Delivered
800504,70015504,Purolator,Express,Toronto-ON,2024-03-14,2024-03-16,19.99,Delivered
800505,70015505,DHL,Standard,Chicago-IL,2024-03-11,2024-03-20,12.99,Delivered
800506,70015506,Canada Post,Standard,Edmonton-AB,2024-03-15,2024-03-22,9.99,Delivered
800507,70015507,UPS,Expedited,Calgary-AB,2024-03-16,2024-03-19,14.99,Delivered
800508,70015508,FedEx,Standard,Vancouver-BC,2024-03-13,2024-03-21,11.99,Delivered
800509,70015509,Purolator,Express,Toronto-ON,2024-03-17,2024-03-19,19.99,Delivered
800510,70015510,DHL,Standard,Chicago-IL,2024-03-14,2024-03-23,12.99,Delivered
800511,70015511,Canada Post,Standard,Edmonton-AB,2024-03-18,2024-03-25,9.99,Delivered
800512,70015512,UPS,Expedited,Calgary-AB,2024-03-19,2024-03-22,14.99,Delivered
800513,70015513,FedEx,Standard,Vancouver-BC,2024-03-16,2024-03-24,11.99,Delivered
800514,70015514,Purolator,Express,Toronto-ON,2024-03-20,2024-03-22,19.99,Delivered
800515,70015515,DHL,Standard,Chicago-IL,2024-03-17,2024-03-26,12.99,Delivered
800516,70015516,Canada Post,Standard,Edmonton-AB,2024-03-21,2024-03-28,9.99,Delivered
800517,70015517,UPS,Expedited,Calgary-AB,2024-03-22,2024-03-25,14.99,Delivered
800518,70015518,FedEx,Standard,Vancouver-BC,2024-03-19,2024-03-27,11.99,Delivered
800519,70015519,Purolator,Express,Toronto-ON,2024-03-23,2024-03-25,19.99,Delivered
800520,70015520,DHL,Standard,Chicago-IL,2024-03-20,2024-03-29,12.99,Delivered
800521,70015521,Canada Post,Standard,Edmonton-AB,2024-03-24,2024-03-31,9.99,Delivered
800522,70015522,UPS,Expedited,Calgary-AB,2024-03-25,2024-03-28,14.99,Delivered
800523,70015523,FedEx,Standard,Vancouver-BC,2024-03-22,2024-03-30,11.99,Delivered
800524,70015524,Purolator,Express,Toronto-ON,2024-03-26,2024-03-28,19.99,Delivered
800525,70015525,DHL,Standard,Chicago-IL,2024-03-23,2024-04-01,12.99,Delivered
800526,70015526,Canada Post,Standard,Edmonton-AB,2024-03-27,2024-04-03,9.99,Delivered
800527,70015527,UPS,Expedited,Calgary-AB,2024-03-28,2024-03-31,14.99,Delivered
800528,70015528,FedEx,Standard,Vancouver-BC,2024-03-25,2024-04-02,11.99,Delivered
800529,70015529,Purolator,Express,Toronto-ON,2024-03-29,2024-03-31,19.99,Delivered
800530,70015530,DHL,Standard,Chicago-IL,2024-03-26,2024-04-04,12.99,Delivered
800531,70015531,Canada Post,Standard,Edmonton-AB,2024-03-30,2024-04-06,9.99,Delivered
800532,70015532,UPS,Expedited,Calgary-AB,2024-03-31,2024-04-03,14.99,Delivered
800533,70015533,FedEx,Standard,Vancouver-BC,2024-03-28,2024-04-05,11.99,Delivered
800534,70015534,Purolator,Express,Toronto-ON,2024-04-01,2024-04-03,19.99,Delivered
800535,70015535,DHL,Standard,Chicago-IL,2024-03-29,2024-04-07,12.99,Delivered
800536,70015536,Canada Post,Standard,Edmonton-AB,2024-04-02,2024-04-09,9.99,Delivered
800537,70015537,UPS,Expedited,Calgary-AB,2024-04-03,2024-04-06,14.99,Delivered
800538,70015538,FedEx,Standard,Vancouver-BC,2024-03-31,2024-04-08,11.99,Delivered
800539,70015539,Purolator,Express,Toronto-ON,2024-04-04,2024-04-06,19.99,Delivered
800540,70015540,DHL,Standard,Chicago-IL,2024-04-01,2024-04-10,12.99,Delivered
800541,70015541,Canada Post,Standard,Edmonton-AB,2024-04-05,2024-04-12,9.99,Delivered
800542,70015542,UPS,Expedited,Calgary-AB,2024-04-06,2024-04-09,14.99,Delivered
800543,70015543,FedEx,Standard,Vancouver-BC,2024-04-03,2024-04-11,11.99,Delivered
800544,70015544,Purolator,Express,Toronto-ON,2024-04-07,2024-04-09,19.99,Delivered
800545,70015545,DHL,Standard,Chicago-IL,2024-04-04,2024-04-13,12.99,Delivered
800546,70015546,Canada Post,Standard,Edmonton-AB,2024-04-08,2024-04-15,9.99,Delivered
800547,70015547,UPS,Expedited,Calgary-AB,2024-04-09,2024-04-12,14.99,Delivered
800548,70015548,FedEx,Standard,Vancouver-BC,2024-04-06,2024-04-14,11.99,Delivered
800549,70015549,Purolator,Express,Toronto-ON,2024-04-10,2024-04-12,19.99,Delivered
800550,70015550,DHL,Standard,Chicago-IL,2024-04-07,2024-04-16,12.99,Delivered
800751,70015751,Canada Post,Standard,Edmonton-AB,2024-04-12,2024-04-19,9.99,Delivered
800752,70015752,UPS,Expedited,Calgary-AB,2024-04-13,2024-04-16,14.99,Delivered
800753,70015753,FedEx,Standard,Vancouver-BC,2024-04-10,2024-04-18,11.99,Delivered
800754,70015754,Purolator,Express,Toronto-ON,2024-04-14,2024-04-16,19.99,Delivered
800755,70015755,DHL,Standard,Chicago-IL,2024-04-11,2024-04-20,12.99,Delivered
800756,70015756,Canada Post,Standard,Edmonton-AB,2024-04-15,2024-04-22,9.99,Delivered
800757,70015757,UPS,Expedited,Calgary-AB,2024-04-16,2024-04-19,14.99,Delivered
800758,70015758,FedEx,Standard,Vancouver-BC,2024-04-13,2024-04-21,11.99,Delivered
800759,70015759,Purolator,Express,Toronto-ON,2024-04-17,2024-04-19,19.99,Delivered
800760,70015760,DHL,Standard,Chicago-IL,2024-04-14,2024-04-23,12.99,Delivered
800761,70015761,Canada Post,Standard,Edmonton-AB,2024-04-18,2024-04-25,9.99,Delivered
800762,70015762,UPS,Expedited,Calgary-AB,2024-04-19,2024-04-22,14.99,Delivered
800763,70015763,FedEx,Standard,Vancouver-BC,2024-04-16,2024-04-24,11.99,Delivered
800764,70015764,Purolator,Express,Toronto-ON,2024-04-20,2024-04-22,19.99,Delivered
800765,70015765,DHL,Standard,Chicago-IL,2024-04-17,2024-04-26,12.99,Delivered
800766,70015766,Canada Post,Standard,Edmonton-AB,2024-04-21,2024-04-28,9.99,Delivered
800767,70015767,UPS,Expedited,Calgary-AB,2024-04-22,2024-04-25,14.99,Delivered
800768,70015768,FedEx,Standard,Vancouver-BC,2024-04-19,2024-04-27,11.99,Delivered
800769,70015769,Purolator,Express,Toronto-ON,2024-04-23,2024-04-25,19.99,Delivered
800770,70015770,DHL,Standard,Chicago-IL,2024-04-20,2024-04-29,12.99,Delivered
8001001,70016001,Canada Post,Standard,Edmonton-AB,2024-04-25,2024-05-02,9.99,Delivered
8001002,70016002,UPS,Expedited,Calgary-AB,2024-04-26,2024-04-29,14.99,Delivered
8001003,70016003,FedEx,Standard,Vancouver-BC,2024-04-23,2024-05-01,11.99,Delivered
8001004,70016004,Purolator,Express,Toronto-ON,2024-04-27,2024-04-29,19.99,Delivered
8001005,70016005,DHL,Standard,Chicago-IL,2024-04-24,2024-05-03,12.99,Delivered
8001006,70016006,Canada Post,Standard,Edmonton-AB,2024-04-28,2024-05-05,9.99,Delivered
8001007,70016007,UPS,Expedited,Calgary-AB,2024-04-29,2024-05-02,14.99,Delivered
8001008,70016008,FedEx,Standard,Vancouver-BC,2024-04-26,2024-05-04,11.99,Delivered
8001009,70016009,Purolator,Express,Toronto-ON,2024-04-30,2024-05-02,19.99,Delivered
8001010,70016010,DHL,Standard,Chicago-IL,2024-04-27,2024-05-06,12.99,Delivered
8001011,70016011,Canada Post,Standard,Edmonton-AB,2024-05-01,2024-05-08,9.99,Delivered
8001012,70016012,UPS,Expedited,Calgary-AB,2024-05-02,2024-05-05,14.99,Delivered
8001013,70016013,FedEx,Standard,Vancouver-BC,2024-04-29,2024-05-07,11.99,Delivered
8001014,70016014,Purolator,Express,Toronto-ON,2024-05-03,2024-05-05,19.99,Delivered
8001015,70016015,DHL,Standard,Chicago-IL,2024-04-30,2024-05-09,12.99,Delivered
8001016,70016016,Canada Post,Standard,Edmonton-AB,2024-05-04,2024-05-11,9.99,Delivered
8001017,70016017,UPS,Expedited,Calgary-AB,2024-05-05,2024-05-08,14.99,Delivered
8001018,70016018,FedEx,Standard,Vancouver-BC,2024-05-02,2024-05-10,11.99,Delivered
8001019,70016019,Purolator,Express,Toronto-ON,2024-05-06,2024-05-08,19.99,Delivered
8001020,70016020,DHL,Standard,Chicago-IL,2024-05-03,2024-05-12,12.99,Delivered
8001021,70016021,Canada Post,Standard,Edmonton-AB,2024-05-07,2024-05-14,9.99,Delivered
8001022,70016022,UPS,Expedited,Calgary-AB,2024-05-08,2024-05-11,14.99,Delivered
8001023,70016023,FedEx,Standard,Vancouver-BC,2024-05-05,2024-05-13,11.99,Delivered
8001024,70016024,Purolator,Express,Toronto-ON,2024-05-09,2024-05-11,19.99,Delivered
8001025,70016025,DHL,Standard,Chicago-IL,2024-05-06,2024-05-15,12.99,Delivered
8001026,70016026,Canada Post,Standard,Edmonton-AB,2024-05-10,2024-05-17,9.99,Delivered
8001027,70016027,UPS,Expedited,Calgary-AB,2024-05-11,2024-05-14,14.99,Delivered
8001028,70016028,FedEx,Standard,Vancouver-BC,2024-05-08,2024-05-16,11.99,Delivered
8001029,70016029,Purolator,Express,Toronto-ON,2024-05-12,2024-05-14,19.99,Delivered
8001030,70016030,DHL,Standard,Chicago-IL,2024-05-09,2024-05-18,12.99,Delivered
8001031,70016031,Canada Post,Standard,Edmonton-AB,2024-05-13,2024-05-20,9.99,Delivered
8001032,70016032,UPS,Expedited,Calgary-AB,2024-05-14,2024-05-17,14.99,Delivered
8001033,70016033,FedEx,Standard,Vancouver-BC,2024-05-11,2024-05-19,11.99,Delivered
8001034,70016034,Purolator,Express,Toronto-ON,2024-05-15,2024-05-17,19.99,Delivered
8001035,70016035,DHL,Standard,Chicago-IL,2024-05-12,2024-05-21,12.99,Delivered
8001036,70016036,Canada Post,Standard,Edmonton-AB,2024-05-16,2024-05-23,9.99,Delivered
8001037,70016037,UPS,Expedited,Calgary-AB,2024-05-17,2024-05-20,14.99,Delivered
8001038,70016038,FedEx,Standard,Vancouver-BC,2024-05-14,2024-05-22,11.99,Delivered
8001039,70016039,Purolator,Express,Toronto-ON,2024-05-18,2024-05-20,19.99,Delivered
8001040,70016040,DHL,Standard,Chicago-IL,2024-05-15,2024-05-24,12.99,Delivered
8001001,70016001,Canada Post,Standard,Edmonton-AB,2024-04-25,2024-05-02,9.99,Delivered
8001002,70016002,UPS,Expedited,Calgary-AB,2024-04-26,2024-04-29,14.99,Delivered
8001003,70016003,FedEx,Standard,Vancouver-BC,2024-04-23,2024-05-01,11.99,Delivered
8001004,70016004,Purolator,Express,Toronto-ON,2024-04-27,2024-04-29,19.99,Delivered
8001005,70016005,DHL,Standard,Chicago-IL,2024-04-24,2024-05-03,12.99,Delivered
8001006,70016006,Canada Post,Standard,Edmonton-AB,2024-04-28,2024-05-05,9.99,Delivered
8001007,70016007,UPS,Expedited,Calgary-AB,2024-04-29,2024-05-02,14.99,Delivered
8001008,70016008,FedEx,Standard,Vancouver-BC,2024-04-26,2024-05-04,11.99,Delivered
8001009,70016009,Purolator,Express,Toronto-ON,2024-04-30,2024-05-02,19.99,Delivered
8001010,70016010,DHL,Standard,Chicago-IL,2024-04-27,2024-05-06,12.99,Delivered
8001011,70016011,Canada Post,Standard,Edmonton-AB,2024-05-01,2024-05-08,9.99,Delivered
8001012,70016012,UPS,Expedited,Calgary-AB,2024-05-02,2024-05-05,14.99,Delivered
8001013,70016013,FedEx,Standard,Vancouver-BC,2024-04-29,2024-05-07,11.99,Delivered
8001014,70016014,Purolator,Express,Toronto-ON,2024-05-03,2024-05-05,19.99,Delivered
8001015,70016015,DHL,Standard,Chicago-IL,2024-04-30,2024-05-09,12.99,Delivered
8001016,70016016,Canada Post,Standard,Edmonton-AB,2024-05-04,2024-05-11,9.99,Delivered
8001017,70016017,UPS,Expedited,Calgary-AB,2024-05-05,2024-05-08,14.99,Delivered
8001018,70016018,FedEx,Standard,Vancouver-BC,2024-05-02,2024-05-10,11.99,Delivered
8001019,70016019,Purolator,Express,Toronto-ON,2024-05-06,2024-05-08,19.99,Delivered
8001020,70016020,DHL,Standard,Chicago-IL,2024-05-03,2024-05-12,12.99,Delivered
8001500,70016500,DHL,Standard,Chicago-IL,2024-06-14,2024-06-23,12.99,Delivered
8001501,70016501,Canada Post,Standard,Edmonton-AB,2024-06-15,2024-06-22,9.99,Delivered
8001502,70016502,UPS,Expedited,Calgary-AB,2024-06-16,2024-06-19,14.99,Delivered
8001503,70016503,FedEx,Standard,Vancouver-BC,2024-06-13,2024-06-21,11.99,Delivered
8001504,70016504,Purolator,Express,Toronto-ON,2024-06-17,2024-06-19,19.99,Delivered
8001505,70016505,DHL,Standard,Chicago-IL,2024-06-14,2024-06-23,12.99,Delivered
8001506,70016506,Canada Post,Standard,Edmonton-AB,2024-06-18,2024-06-25,9.99,Delivered
8001507,70016507,UPS,Expedited,Calgary-AB,2024-06-19,2024-06-22,14.99,Delivered
8001508,70016508,FedEx,Standard,Vancouver-BC,2024-06-16,2024-06-24,11.99,Delivered
8001509,70016509,Purolator,Express,Toronto-ON,2024-06-20,2024-06-22,19.99,Delivered
8001510,70016510,DHL,Standard,Chicago-IL,2024-06-17,2024-06-26,12.99,Delivered
8001511,70016511,Canada Post,Standard,Edmonton-AB,2024-06-21,2024-06-28,9.99,Delivered
8001512,70016512,UPS,Expedited,Calgary-AB,2024-06-22,2024-06-25,14.99,Delivered
8001513,70016513,FedEx,Standard,Vancouver-BC,2024-06-19,2024-06-27,11.99,Delivered
8001514,70016514,Purolator,Express,Toronto-ON,2024-06-23,2024-06-25,19.99,Delivered
8001515,70016515,DHL,Standard,Chicago-IL,2024-06-20,2024-06-29,12.99,Delivered
8001516,70016516,Canada Post,Standard,Edmonton-AB,2024-06-24,2024-07-01,9.99,Delivered
8001517,70016517,UPS,Expedited,Calgary-AB,2024-06-25,2024-06-28,14.99,Delivered
8001518,70016518,FedEx,Standard,Vancouver-BC,2024-06-22,2024-06-30,11.99,Delivered
8001519,70016519,Purolator,Express,Toronto-ON,2024-06-26,2024-06-28,19.99,Delivered
8001520,70016520,DHL,Standard,Chicago-IL,2024-06-23,2024-07-02,12.99,Delivered
8001521,70016521,Canada Post,Standard,Edmonton-AB,2024-06-27,2024-07-04,9.99,Delivered
8001522,70016522,UPS,Expedited,Calgary-AB,2024-06-28,2024-07-01,14.99,Delivered
8001523,70016523,FedEx,Standard,Vancouver-BC,2024-06-25,2024-07-03,11.99,Delivered
8001524,70016524,Purolator,Express,Toronto-ON,2024-06-29,2024-07-01,19.99,Delivered
8001525,70016525,DHL,Standard,Chicago-IL,2024-06-26,2024-07-05,12.99,Delivered
8001526,70016526,Canada Post,Standard,Edmonton-AB,2024-06-30,2024-07-07,9.99,Delivered
8001527,70016527,UPS,Expedited,Calgary-AB,2024-07-01,2024-07-04,14.99,Delivered
8001528,70016528,FedEx,Standard,Vancouver-BC,2024-06-28,2024-07-06,11.99,Delivered
8001529,70016529,Purolator,Express,Toronto-ON,2024-07-02,2024-07-04,19.99,Delivered
8001530,70016530,DHL,Standard,Chicago-IL,2024-06-29,2024-07-08,12.99,Delivered
8001531,70016531,Canada Post,Standard,Edmonton-AB,2024-07-03,2024-07-10,9.99,Delivered
8001532,70016532,UPS,Expedited,Calgary-AB,2024-07-04,2024-07-07,14.99,Delivered
8001533,70016533,FedEx,Standard,Vancouver-BC,2024-07-01,2024-07-09,11.99,Delivered
8001534,70016534,Purolator,Express,Toronto-ON,2024-07-05,2024-07-07,19.99,Delivered
8001535,70016535,DHL,Standard,Chicago-IL,2024-07-02,2024-07-11,12.99,Delivered
8001536,70016536,Canada Post,Standard,Edmonton-AB,2024-07-06,2024-07-13,9.99,Delivered
8001537,70016537,UPS,Expedited,Calgary-AB,2024-07-07,2024-07-10,14.99,Delivered
8001538,70016538,FedEx,Standard,Vancouver-BC,2024-07-04,2024-07-12,11.99,Delivered
8001539,70016539,Purolator,Express,Toronto-ON,2024-07-08,2024-07-10,19.99,Delivered
8001540,70016540,DHL,Standard,Chicago-IL,2024-07-05,2024-07-14,12.99,Delivered
8001541,70016541,Canada Post,Standard,Edmonton-AB,2024-07-09,2024-07-16,9.99,Delivered
8001542,70016542,UPS,Expedited,Calgary-AB,2024-07-10,2024-07-13,14.99,Delivered
8001543,70016543,FedEx,Standard,Vancouver-BC,2024-07-07,2024-07-15,11.99,Delivered
8001544,70016544,Purolator,Express,Toronto-ON,2024-07-11,2024-07-13,19.99,Delivered
8001545,70016545,DHL,Standard,Chicago-IL,2024-07-08,2024-07-17,12.99,Delivered
8001546,70016546,Canada Post,Standard,Edmonton-AB,2024-07-12,2024-07-19,9.99,Delivered
8001547,70016547,UPS,Expedited,Calgary-AB,2024-07-13,2024-07-16,14.99,Delivered
8001548,70016548,FedEx,Standard,Vancouver-BC,2024-07-10,2024-07-18,11.99,Delivered
8001549,70016549,Purolator,Express,Toronto-ON,2024-07-14,2024-07-16,19.99,Delivered
8001550,70016550,DHL,Standard,Chicago-IL,2024-07-11,2024-07-20,12.99,Delivered
8001751,70016751,Canada Post,Standard,Edmonton-AB,2024-07-18,2024-07-25,9.99,Delivered
8001752,70016752,UPS,Expedited,Calgary-AB,2024-07-19,2024-07-22,14.99,Delivered
8001753,70016753,FedEx,Standard,Vancouver-BC,2024-07-16,2024-07-24,11.99,Delivered
8001754,70016754,Purolator,Express,Toronto-ON,2024-07-20,2024-07-22,19.99,Delivered
8001755,70016755,DHL,Standard,Chicago-IL,2024-07-17,2024-07-26,12.99,Delivered
8001756,70016756,Canada Post,Standard,Edmonton-AB,2024-07-21,2024-07-28,9.99,Delivered
8001757,70016757,UPS,Expedited,Calgary-AB,2024-07-22,2024-07-25,14.99,Delivered
8001758,70016758,FedEx,Standard,Vancouver-BC,2024-07-19,2024-07-27,11.99,Delivered
8001759,70016759,Purolator,Express,Toronto-ON,2024-07-23,2024-07-25,19.99,Delivered
8001760,70016760,DHL,Standard,Chicago-IL,2024-07-20,2024-07-29,12.99,Delivered
8001761,70016761,Canada Post,Standard,Edmonton-AB,2024-07-24,2024-07-31,9.99,Delivered
8001762,70016762,UPS,Expedited,Calgary-AB,2024-07-25,2024-07-28,14.99,Delivered
8001763,70016763,FedEx,Standard,Vancouver-BC,2024-07-22,2024-07-30,11.99,Delivered
8001764,70016764,Purolator,Express,Toronto-ON,2024-07-26,2024-07-28,19.99,Delivered
8001765,70016765,DHL,Standard,Chicago-IL,2024-07-23,2024-08-01,12.99,Delivered
8001766,70016766,Canada Post,Standard,Edmonton-AB,2024-07-27,2024-08-03,9.99,Delivered
8001767,70016767,UPS,Expedited,Calgary-AB,2024-07-28,2024-07-31,14.99,Delivered
8001768,70016768,FedEx,Standard,Vancouver-BC,2024-07-25,2024-08-02,11.99,Delivered
8001769,70016769,Purolator,Express,Toronto-ON,2024-07-29,2024-07-31,19.99,Delivered
8001770,70016770,DHL,Standard,Chicago-IL,2024-07-26,2024-08-04,12.99,Delivered
8001771,70016771,Canada Post,Standard,Edmonton-AB,2024-07-30,2024-08-06,9.99,Delivered
8001772,70016772,UPS,Expedited,Calgary-AB,2024-07-31,2024-08-03,14.99,Delivered
8001773,70016773,FedEx,Standard,Vancouver-BC,2024-07-28,2024-08-05,11.99,Delivered
8001774,70016774,Purolator,Express,Toronto-ON,2024-08-01,2024-08-03,19.99,Delivered
8001775,70016775,DHL,Standard,Chicago-IL,2024-07-29,2024-08-07,12.99,Delivered
8001776,70016776,Canada Post,Standard,Edmonton-AB,2024-08-02,2024-08-09,9.99,Delivered
8001777,70016777,UPS,Expedited,Calgary-AB,2024-08-03,2024-08-06,14.99,Delivered
8001778,70016778,FedEx,Standard,Vancouver-BC,2024-07-31,2024-08-08,11.99,Delivered
8001779,70016779,Purolator,Express,Toronto-ON,2024-08-04,2024-08-06,19.99,Delivered
8001780,70016780,DHL,Standard,Chicago-IL,2024-08-01,2024-08-10,12.99,Delivered
8001781,70016781,Canada Post,Standard,Edmonton-AB,2024-08-05,2024-08-12,9.99,Delivered
8001782,70016782,UPS,Expedited,Calgary-AB,2024-08-06,2024-08-09,14.99,Delivered
8001783,70016783,FedEx,Standard,Vancouver-BC,2024-08-03,2024-08-11,11.99,Delivered
8001784,70016784,Purolator,Express,Toronto-ON,2024-08-07,2024-08-09,19.99,Delivered
8001785,70016785,DHL,Standard,Chicago-IL,2024-08-04,2024-08-13,12.99,Delivered
8001786,70016786,Canada Post,Standard,Edmonton-AB,2024-08-08,2024-08-15,9.99,Delivered
8001787,70016787,UPS,Expedited,Calgary-AB,2024-08-09,2024-08-12,14.99,Delivered
8001788,70016788,FedEx,Standard,Vancouver-BC,2024-08-06,2024-08-14,11.99,Delivered
8001789,70016789,Purolator,Express,Toronto-ON,2024-08-10,2024-08-12,19.99,Delivered
8001790,70016790,DHL,Standard,Chicago-IL,2024-08-07,2024-08-16,12.99,Delivered
